variant_sku;image_path;position;is_cover;source;id_product;id_product_attribute;id_image
042.00.0132;/root/presta_img_p/2/1/5/8/2/21582.jpg;1;1;variant;13426;11526;21582
042.00.0351;/root/presta_img_p/2/1/6/4/8/21648.jpg;3;0;variant;13426;11527;21648
042.00.0354;/root/presta_img_p/2/1/6/4/9/21649.jpg;4;0;variant;13426;11528;21649
042.00.0575;/root/presta_img_p/2/1/5/8/2/21582.jpg;1;1;variant;13426;11530;21582
042.00.0669;/root/presta_img_p/2/1/6/4/7/21647.jpg;2;0;variant;13426;11529;21647
045.00.0132;/root/presta_img_p/2/1/5/8/3/21583.jpg;1;1;variant;13427;11531;21583
045.00.0351;/root/presta_img_p/2/1/6/5/1/21651.jpg;3;0;variant;13427;11532;21651
045.00.0354;/root/presta_img_p/2/1/6/5/2/21652.jpg;4;0;variant;13427;11533;21652
045.00.0575;/root/presta_img_p/2/1/5/8/3/21583.jpg;1;1;variant;13427;11535;21583
045.00.0669;/root/presta_img_p/2/1/6/5/0/21650.jpg;2;0;variant;13427;11534;21650
0450-A01-041;/root/presta_img_p/1/7/7/3/1773.jpg;1;1;variant;862;3485;1773
070.77.0184A;/root/presta_img_p/2/1/6/3/7/21637.jpg;3;0;variant;13438;11593;21637
070.77.0351;/root/presta_img_p/2/1/6/3/6/21636.jpg;2;0;variant;13438;11594;21636
070.77.0422;/root/presta_img_p/2/1/6/4/0/21640.jpg;6;0;variant;13438;11598;21640
070.77.0885;/root/presta_img_p/2/1/6/3/9/21639.jpg;5;0;variant;13438;11596;21639
070.77.0886;/root/presta_img_p/2/1/6/3/8/21638.jpg;4;0;variant;13438;11595;21638
070.77.0B36;/root/presta_img_p/2/1/6/3/5/21635.jpg;1;1;variant;13438;11597;21635
070.91.032;/root/presta_img_p/2/1/6/2/6/21626.jpg;2;0;variant;13444;11601;21626
070.91.0518;/root/presta_img_p/2/1/6/2/5/21625.jpg;1;1;product_fallback;13444;11602;21625
070.91.0518;/root/presta_img_p/2/1/6/2/6/21626.jpg;2;0;product_fallback;13444;11602;21626
070.98.0184;/root/presta_img_p/2/1/6/2/3/21623.jpg;1;1;product_fallback;13443;11599;21623
070.98.0184;/root/presta_img_p/2/1/6/2/4/21624.jpg;2;0;product_fallback;13443;11599;21624
070.98.0193;/root/presta_img_p/2/1/6/2/4/21624.jpg;2;0;variant;13443;11600;21624
071.48.0184A;/root/presta_img_p/2/1/6/4/1/21641.jpg;2;0;variant;13437;11591;21641
071.48.0422;/root/presta_img_p/2/1/5/9/3/21593.jpg;1;1;product_fallback;13437;11592;21593
071.48.0422;/root/presta_img_p/2/1/6/4/1/21641.jpg;2;0;product_fallback;13437;11592;21641
087.00.0B25;/root/presta_img_p/2/1/6/2/9/21629.jpg;2;0;variant;13433;11576;21629
087.00.0B26;/root/presta_img_p/2/1/6/3/0/21630.jpg;3;0;variant;13433;11577;21630
087.00.0B27;/root/presta_img_p/2/1/6/2/8/21628.jpg;1;1;variant;13433;11578;21628
087.00.0B28;/root/presta_img_p/2/1/6/2/8/21628.jpg;1;1;product_fallback;13433;11579;21628
087.00.0B28;/root/presta_img_p/2/1/6/2/9/21629.jpg;2;0;product_fallback;13433;11579;21629
087.00.0B28;/root/presta_img_p/2/1/6/3/0/21630.jpg;3;0;product_fallback;13433;11579;21630
087.00.0B28;/root/presta_img_p/2/1/6/3/1/21631.jpg;4;0;product_fallback;13433;11579;21631
087.00.0S33;/root/presta_img_p/2/1/6/3/1/21631.jpg;4;0;variant;13433;11580;21631
088.00.0B25;/root/presta_img_p/2/1/5/9/1/21591.jpg;1;1;product_fallback;13435;11581;21591
088.00.0B26;/root/presta_img_p/2/1/5/9/1/21591.jpg;1;1;product_fallback;13435;11582;21591
088.00.0B27;/root/presta_img_p/2/1/5/9/1/21591.jpg;1;1;product_fallback;13435;11583;21591
